"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
"2001",7,7,20.0064600504664,0.860221645082507,0.596930107171928,1.72144176159114,4.0887889691435,NA,NA
"2002",10,10,30.1215033925897,0.768968019966451,0.789095180149144,2.72795425924836,8.06627729010821,NA,NA
"2003",10,10,30.1041564572858,0.787633131649494,0.715777877264666,2.40176453675625,6.3356118477467,NA,NA
"2004",8,8,21.4610695934279,0.794613228464425,0.636839517442459,2.33276767456449,5.96919165389147,NA,NA
"2005",6,6,14.0886105575473,0.86886370764401,0.782688285805593,2.28662557757433,5.86922751171217,NA,NA
"2006",7,7,19.1664621483586,0.86718317044545,0.615530292440506,1.88259128724342,4.42421041046359,NA,NA
"2007",6,6,13.8812821498274,0.892664399666671,0.524312425117714,2.00192815690769,4.95406208592458,NA,NA
"2008",5,5,8.75852727805201,0.995816257225205,0.682083907291726,1.84022859035225,4.28676398411614,NA,NA
"2009",6,6,10.5837341683723,0.96450074022255,0.750743078362987,2.14933829918726,5.58650869925872,NA,NA
"2010",3,3,6.27552510989285,NA,0.455973194149488,1.93531291103288,4.78171957495239,NA,NA
"2011",5,5,8.75852727805202,0.995816257225205,0.705618925004756,2.61917067464529,7.29834774677204,NA,NA
"2012",6,6,10.5837341683723,0.96450074022255,0.712549583716138,2.16705533930816,5.49968048188277,NA,NA
"2013",5,5,6.51410906659313,0.996459120121295,0.715996282198716,1.87497221168639,4.31223064743874,NA,NA
"2014",4,4,5.15756964072483,1,0.795865787242716,1.58766084570193,2.9667939912948,NA,NA
"2015",4,4,6.77487775996942,1,0.808393744879041,2.46855010023688,6.45185855641227,NA,NA
"2016",7,7,11.5301976256503,0.900405311948971,0.484319265112181,2.31803267311544,5.89993385185341,NA,NA
"2017",7,7,15.6806242580492,0.851234953098724,0.527994040075755,2.2117940877745,5.61368194292173,NA,NA
"2018",7,7,15.6806242580492,0.851234953098724,0.534267473337716,2.37554261616775,6.51345100741828,NA,NA
"2019",9,9,18.398292952727,0.838465399418291,0.517705387148608,1.90438686964406,4.72222881628913,NA,NA
"2020",6,6,15.2804769379077,0.85189984711106,0.387604312415064,2.07466075948314,4.57752337716165,NA,NA
"2021",5,5,10.8349867580868,0.927695504890036,0.411057004355365,2.08322553056291,4.7743061848754,NA,NA
"2022",4,4,7.79397251506508,1,0.820203389207392,2.18873398878338,5.06650750289498,NA,NA
"2023",4,4,7.79397251506509,1,0.791857943325368,2.10568681733526,4.7226202585893,NA,NA
"2024",7,7,13.5930407838023,0.90366833195353,0.316994636561458,2.05115988944531,4.81594683824155,NA,NA
"2025",8,8,16.5332023752763,0.885189627634853,0.65810598977761,2.87579366799769,8.76263425182914,NA,NA
"2026",7,7,13.5096358801846,0.936439639051133,0.619155928452344,2.88250272193905,8.55680683184224,NA,NA
"2027",6,6,13.1384165859038,0.910596214981473,0.548828746842761,2.62102887253851,7.1572222148613,NA,NA
"2028",6,6,12.1896321979803,0.893091147028218,0.833934695151846,2.46276186223542,6.91670211409503,NA,NA
"2029",6,6,10.5837341683724,0.96450074022255,0.775216626487574,2.27030545943827,6.02181667462301,NA,NA
"2030",5,5,8.75852727805202,0.995816257225205,0.606653620986544,2.11495567785246,5.32249389786949,NA,NA
"2031",5,5,8.75852727805201,0.995816257225205,0.620048105805236,2.39936358064528,6.47453780702807,NA,NA
"2032",8,8,21.3349124616436,0.838679021559442,0.653771867601089,2.83117371960484,8.14812539450069,NA,NA
"2033",12,12,29.4429154974738,0.785330295467633,0.617642548743887,2.39426841039023,6.77096838996625,NA,NA
"2034",8,8,20.4925744181534,0.885972528033655,0.439544662564526,1.88783232104186,4.33124391303552,NA,NA
"2035",10,10,23.911739921592,0.814366634293715,0.672386279548633,2.56507967381719,7.31048753115736,NA,NA
"2036",9,9,21.4079212122859,0.865803206174603,0.608650937676289,2.26406929746855,5.67405219643311,NA,NA
